도시,나라,음식,관광지,쇼핑리스트,간단한 설명
홍콩,홍콩,"딤섬, 밀크티, 길거리 음식","산정공원, 디즈니랜드, 템플거리 야시장","전자제품, 쿠키, 밀크티","화려한 야경의 도시 홍콩! 먹거리와 야경으로 유명한 홍콩은 대중교통이 잘 되어있어 자유 여행을 하기 좋은 도시에요~ 쇼핑과 함께 야시장 투어가 유명하고, 빅토리아 파트에서 바라보는 도시 야경은 진리! 홍콩은 특히 음식이 유명한데, 인구 대비 가장 많은 음식점을 가지고 있다고해요. 딤섬과 밀크티가 대표적으로 유명한 음식이고, 광둥요리부터 중국 각지의 본토요리를 모두 만나볼 수 있답니다^^"
싱가포르,싱가포르,"치킨라이스,칠리크랩","마리나베이샌즈 스카이파크, 유니버설 스튜디오, 센토사섬, 가든스 바이 더 베이","클락키(쇼핑몰), 무스타파 센터, 오차드 로드","맛집과 쇼핑의 천국 싱가폴! 관광 명소들이 가까운 거리에 위치해 있어, 여행 초보들에게 좋은 여행지에요. 치킨라이스와 칠리크랩이 유명하며, 오차드 로드 쇼핑센터와 마리나베이샌즈 호텔 수영장은 여행객들의 필수코스에요 ㅎㅎ"
방콕,태국,"태국식 면요리, 커리, 해산물","왓 아룬, 왓포, 카오산 로드, 시암 파라곤, 아시아티크, 방콕 왕궁, 딸랏 롯 빠이","터미널21, 씨암 스퀘어, 코코넛 칩","매년 1,600만 명이 찾는 관광도시 방콕! 길거리 음식의 천국이기도 한 방콕은 태국식 면요리와 커리, 해산물이 맛있어요! 왕궁과 사원은 관광객들의 필수 코스이며, 카오산 로드는 배낭여행자들의 메카로 유명하답니다.ㅎㅎ 택시비가 저렴해서 주로 택시를 이용해 관광하거나, 수상교통을 이용하기도 해요. 현지의 활발한 길거리 문화를 체험하고 싶다면 방콕으로!"
런던,영국,세계 각국의 양식,"해리포터 스튜디오, 대영 박물관, 버킹엄 궁전, 런던 아이, 런던 내셔널 갤러리, 타워브릿지, 빅벤, 테이트 모던, 윈저성, 피카딜리 서커스(뮤지컬)","해로드 백화점, 포트넘 & 메이슨","2층 버스와 여왕님으로 대표되는 영국의 수도 변덕스러운 날씨로도 유명한 런던은 6-7월이 여행하기 좋은 날씨에요! 빨간 2층 버스와 버킹엄궁전의 근위병 교대식, 빅벤과 타워브릿지같은 랜드마크가 유명하답니다. 중심가인 피카디리서커스는 쇼핑의 중심지이자 뮤지컬 극장들이 모여있는 곳이기도 해서 많은 사람들이 찾아요.^^ 윔블던 테니스 대회와 첼시, 아스널, 토트넘 같은 잉글랜드 프리미어 리그 런던 연고 구단의 경기 등 스포츠 팬들에게도 좋은 여행지죠ㅎㅎ"
파리,프랑스,"에스까르고, 푸아그라, 빵, 크레페","에펠탑, 루브르 박물관, 베르사유 궁전, 오르세 미술관, 파리 노트르담 성당, 몽마르뜨 언덕, 개선문, 샹젤리제 거리, 퐁피두 센터","몽쥬약국, 메르시, 라파예드 백화점","프랑스의 수도이자 유럽의 대표도시 파리. 에펠탑, 개선문, 노트르담 대성당, 베르사유 궁전 같은 대표 건축물 부터, 오르셰 미술관과 루브르 박물관까지!ㅜㅜ 파리는 짧은 일정으로 둘러보기 힘들 정도의 많은 랜드마크들과 예술 작품들로 가득차 있어요. 미식의 나라로 불리는 프랑스답게 파리에도 에스까르고, 푸아그라, 바게트, 크레페 등 미식가들을 유혹하는 유명 레스토랑이 많아요~ 상대적으로 저렴한 비스트로 부터 고급 레스토랑까지 다양한 음식점이 있어, 여행객의 취향에 맞게 선택할 수 있답니다.^^"
뉴욕,미국,"치즈케익, 베이글, 스테이크, 뉴욕피자","브로드웨이, 뉴욕 현대 미술관, 자유의 여신상, 센트럴 파크, 엠파이어 스테이트 빌딩, 메트로 폴리탄 미술관, 뉴욕 타임스퀘어",우드버리 아울렛,"미식가와 패셔니스타들이 선호하는 도시이자, 힙합의 본고장 뉴욕. 뉴욕은 미국 동부 여행에서 빠지지 않는 여행 필수 도시죠! 브로드웨이 뮤지컬, 센트럴파크, 자유의 여신상, 타임스퀘어, 엠파이어스테이트빌딩 등 많은 대표적인 도시의 랜드마크들이 있고, 치즈케익과 베이글, 스테이크, 뉴욕피자 같이 맛있는 음식들이 많아요! 하지만 교통체증이 심해서 지하철을 이용하는걸 추천해요."
이스탄불,터키,"케밥, 피데","블루 모스크, 그랜드 바자르, 탁심광장, 톱카프 궁전, 돌마바흐체 궁전, 아야소피아 성당, 예레바탄 지하 궁전","이집션 바자르, 이스티클랄 거리","이스탄불은 동서양의 조화가 아름다운 모습을 갖춘 묘한 신비를 지닌 도시죠! 유럽과 아시아의 중간에 위치하여 오랜 시간 상업과 문화의 교류의 요충지의 역할을 해서 오늘날까지도 도시 곳곳에 과거의 번영의 흔적이 보존되어 있는 한편, 현대도시로써의 면모도 지니고 있어 과거와 현재가 공존하는 매력적인 도시에요!"
두바이,아랍에미리트,"팔라펠, 만디","버즈 칼리파, 두바이분수, 그랜드 모스크, 팜 주메이라","두바이몰, 대추야자","사막 위의 이국적인 도시 두바이! 세상에서 가장 높은 빌딩인 부르즈 칼리파, 웅장함을 뽐내는 새하얀 아부다비 그랜드 모스크, 아쿠아벤처 워터 파크, 두바이 분수, 아쿠아리움 등 놀거리와 볼거리가 많아요. 사막 액티비티 또한 놓칠 수 없는 경험!"
로마,이탈리아,"피자, 파스타, 젤라또, 커피","콜로세움, 트레비 분수, 판테온, 나보나 광장, 산탄젤로 성 , 진실의 입, 로마 스페인 광장, 포로 로마노, 바티칸 시국","카스텔 로마노, 커피","2,500여년의 역사를 자랑하는 이탈리아의 수도 로마! 로마는 고대의 유물 유적이 워낙 많아 지하철이 발달되어있지 않아요. 그래서 여행을 할 때는 버스를 이용하거나, 가능하다면 도보로 여행을 많이 해요. 콜로세움, 바티칸 시국, 포폴로 광장, 테르미니역 네 꼭짓점 이내에 대부분의 관광명소들이 밀집해있어 여행코스로 많이 애용되요. 고대 로마 유적지 뿐만 아니라 피자, 파스타 같은 현지음식도 빠질 수 없죠!"
푸켓,타이,"쏨땀 타이, 랍카우, 팟타이","파통 해변, 산호 섬, 왓 찰롱",정실론,"태국 남쪽에 위치한 대표적인 푸켓은 언제가도 좋은 매력적인 여행지죠. 스노클링, 스쿠버다이빙 등 다양한 해양 스포츠와 다채로운 먹거리, 그리고 색다른 밤 문화를 즐길 수 있는 푸켓은 여행객들이 태국에서 가장 선호하는 여행지에요!"
프라하,체코,"꼴레뇨, 코젤 다크, 굴라쉬,굴뚝빵","카렐교, 프라하 성, 구시가 광장, 화약탑, 존 레논 벽, 스트라호프 수도원, 황금소로","팔라디움, 지아자","중심가 전체가 유네스코 세계문화유산일 정도로 역사가 깊은 도시 프라하! 도시 중앙을 가로지르는 볼타바 강을 따라 맥주를 마시며 감상하는 야경은 할 말을 잃게 만들죠. 세계에서 가장 큰 성인 프라하성과 성 비투스 대성당, 까를교는 프라하 여행의 필수 코스에요. 프라하에는 아르 누보, 바로크, 르네상스, 큐비즘, 고딕, 신고전주의 건축물들이 어우러져 있고, 2차 세계대전과 프라하의 봄 같은 근대의 굵직한 역사를 보여주는 유적도 있어 다양한 관광이 가능해요."
상하이,중국,"샤오룽바오, 따자시에","난징동루, 예원 정원, 동방명주, 신천지, 디즈니 랜드, 주가각, 인민광장, 상하이 타워, 대한민국 임시정부","타이캉루, 정대광장","중국의 무역과 금융 중심지이자, 외부 문명과의 접촉이 많아 색다른 풍경을 가진 도시 상하이. 명나라 시대 건축양식으로 지어진 정원 예원부터 중세 유럽식 건물이 늘어선 거리 와이탄, 그리고 유명한 동방명주탑이 위치해 있는 고층빌딩가 푸동까지! 상하이에서는 중국의 전통부터 근대, 현대까지 모두 볼 수 있어요. 유럽풍 카페거리인 신천지는 특히 젊은 관광객들에게 인기가 많아요. 또 2016년 6월에 개장한 디즈니랜드는 많은 여행객들의 필수 코스가 되고 있어요."
라스베이거스,미국,햄버거,"코스모 폴리탄, 베네시안, 엑스칼리버, 자연사 박물관, 데스밸리, 벨라지오 호텔","코카콜라 스토어, 패션쇼몰","밤새 조명이 꺼지지 않는 유흥과 도박의 도시이자, 뉴욕에 뒤지지 않는 맛집과 뷔페가 즐비한 도시 라스베이거스! 카지노와 함께 화려한 쇼, 유명셰프들의 레스토랑까지 여행객의 오감을 만족시키는 미국의 대표 관광지죠! 그랜드캐니언이 인접해있어 유흥 뿐만 아니라 웅장한 자연경관까지 자랑한답니다.^^"
밀라노,이탈리아,"리조토, 오소부코, 스테이크","밀라노 두오모 성당, 산타 마리아 델레 그라치에 성당, 스칼라 극장, 나빌리오 운하","비토리오 에마누엘레 2세 갤러리아, 라 리나센테, 페라리 스토어, 브레라 거리, 몬테 나폴레오네 거리","패션의 도시 밀라노. 랜드마크로는 두오모 성당이 있으며 그 웅장함이 여행객들을 사로잡아요. 역사적 건축물로 성 암브로시우스성당, 밀라노 대성당, 성 마리아성당이 있죠. 오페라 극장으로는 라스칼라극장이 잘 알려져있으며 미술관도 볼 곳이 많아요!"
바르셀로나 ,스페인,"타파스, 빠에야","사그라다 파밀리아 성당, 카탈루냐 광장, 구엘 공원, 람블라스 거리, 캄프누 스타디움, 매직분수","ZARA, FC barcelona Store",가우디의 도시이자 스페인 축구의 성지! 바르셀로나는 스페인에서 두 번째로 큰 도시로 피카소와 가우디를 배출한 예술의 도시죠. 가우디의 작품을 따라 도시를 여행하는 코스는 전 세계 여행객들의 버킷리스트! 세계적인 클럽 FC바르셀로나의 연고지인건 알고있죠?
모스크바,러시아,"보르쉬, 펠메니","볼쇼이 극장, 부활의 문, 성 바실리 대성당, 스파스카야 시계탑, 붉은 광장, 크렘린 궁","지하상가, 아피몰","러시아는 겨울 여행지로 인기가 많죠. 그중 모스크바는 겨울과 가장 잘 어울리는 매력적인 도시라고 생각해요! 러시아의 역사를 느낄 수 있고 러시아 특유의 건축물들을 만나고 싶다면 마네지 광장, 붉은 광장, 크렘린 궁전을 추천하구요. 테트리스에 등장하는 성을 닮아 이라고 불리는 바실리 대성당은 러시아 정교회 예술의 가장 아름다운 기념물로 유명하답니다. 모스크바는 도시 내에서도 지역에 따라 기온 차가 심하기 때문에 미리 체크하세요!"
암스테르담,네덜란드,"초콜릿, 감자튀김, 비터발렌","잔세스칸스, 반 고흐 미술관, 하이네켄 체험관, 안네 프랑크의 집, 담 광장, 큐켄호프",프라이막,고흐의 숨결이 살아있고 튤립이 만개한 아름다운 항구 도시인 암스테르담에는 약 170개가 넘는 국적의 사람들이 모여있어요. 반고흐 미술관은 여행의 필수 코스죠! 워낙 유명한 곳인 만큼 아침 일찍 가야 덜 기다릴 수 있다는 것을 기억하세요.^^ 배낭여행객이라면 교통 패스권을 구입하면 주어진 시간 동안 버스를 무제한으로 탑승할 수 있으니 한 번 알아보세요! 하지만 암스테르담은 매춘과 마리화나가 합법인 곳이기 때문에 홍등가와 커피숍을 '항상' 조심하세요!
빈,오스트리아,"자허 토르테, 피그뮐러, 립","벨베데레 궁전, 슈테판 대성당, 빈 국립 오페라 하우스, 쇤브룬 궁전, 빈 미술사 박물관, 훈데르트 바서 하우스, 빈 중앙묘지","맥아더글렌 디자이너 아울렛, 스왈로브스키","오스트리아의 대표 도시이자 수도인 빈에서는 고딕양식의 성 슈테판 대성당 부터 바로크식 건축물인 카를 교회에 이르기 까지, 시대별 건축물들을 모두 볼 수 있어요. 베토벤, 모짜르트, 슈베르트 등의 음악가들을 배출한 대표적인 음악의 도시인만큼, 빈 필하모닉 오케스트라와 빈 소년 합창단이 유명해요! 게른트너 거리에서 쇼핑과 오페라 관람을 하는 것도 인기 있는 관광코스에요!"
도쿄,일본,"텐동, 창코나베, 무조림, 와규 덮밥, 규카츠, 스시","도쿄 디즈니랜드, 도쿄타워 레이보우 브릿지, 도쿄 스카이타워, 지브리 미술관","메가 돈키호테, 피콕 스토어, 프랑프랑, 메종 드 리퍼","일본의 최대 도시이자 수도인 도쿄는 일본의 과거부터 현재까지 모두 볼 수 있는 일본의 모든 것을 압축해놓은 도시에요! 아사쿠사에서 일본의 옛 에도시대 모습을 볼 수 있고, 하라주쿠에서 일본의 개성있는 옷과 악세사리를 쇼핑할 수 있어요! 밤에는 시부야의 이자카야와 나이트클럽에서 일본의 밤문화를 체험할 수 있어요. 도쿄타워와 레인보우브릿지는 일본의 대표 야경 포인트이기도 하죠! 도쿄 디즈니랜드도 도쿄여행의 인기 코스인거 아시죠? 덴돈, 잔코나베, 무조림 등 조촐한 맛집이 많아 식도락 여행으로도 제격!"
